configuration,description,bar_note,midi,target_frequency_hz,bar_length_in,bar_width_in,edge_thickness_in,center_thickness_in,arch_depth_in,node_1_in,node_2_in,resonator_length_in,resonator_bore_in,stock_allowance_length_in,tab_allowance_in
MAR-C3,C3 marimba bar/resonator,C3,48,130.813,32.251,2.000,0.875,0.250,0.625,7.224,25.027,24.260,2.000,0.750,0.250
MAR-Csharp3,C#3 marimba bar/resonator,C#3,49,138.591,31.333,2.000,0.875,0.263,0.612,7.019,24.315,22.806,2.000,0.750,0.250
MAR-D3,D3 marimba bar/resonator,D3,50,146.832,30.441,2.000,0.875,0.276,0.599,6.819,23.622,21.434,2.000,0.750,0.250
MAR-Dsharp3,D#3 marimba bar/resonator,D#3,51,155.563,29.575,2.000,0.875,0.289,0.586,6.625,22.950,20.139,2.000,0.750,0.250
MAR-E3,E3 marimba bar/resonator,E3,52,164.814,28.733,2.000,0.875,0.302,0.573,6.436,22.297,18.917,2.000,0.750,0.250
MAR-F3,F3 marimba bar/resonator,F3,53,174.614,27.915,2.000,0.875,0.315,0.560,6.253,21.662,17.763,2.000,0.750,0.250
MAR-Fsharp3,F#3 marimba bar/resonator,F#3,54,184.997,27.120,2.000,0.875,0.328,0.547,6.075,21.045,16.674,2.000,0.750,0.250
MAR-G3,G3 marimba bar/resonator,G3,55,195.998,26.348,2.000,0.875,0.341,0.534,5.902,20.446,15.646,2.000,0.750,0.250
MAR-Gsharp3,G#3 marimba bar/resonator,G#3,56,207.652,25.598,2.000,0.875,0.354,0.521,5.734,19.864,14.676,2.000,0.750,0.250
MAR-A3,A3 marimba bar/resonator,A3,57,220.000,24.869,2.000,0.875,0.367,0.508,5.571,19.298,13.760,2.000,0.750,0.250
MAR-Asharp3,A#3 marimba bar/resonator,A#3,58,233.082,24.161,2.000,0.875,0.380,0.495,5.412,18.749,12.896,2.000,0.750,0.250
MAR-B3,B3 marimba bar/resonator,B3,59,246.942,23.473,2.000,0.875,0.393,0.482,5.258,18.215,12.080,2.000,0.750,0.250
MAR-C4,C4 marimba bar/resonator,C4,60,261.626,22.805,1.750,0.875,0.406,0.469,5.108,17.697,11.515,1.750,0.750,0.250
MAR-Csharp4,C#4 marimba bar/resonator,C#4,61,277.183,22.156,1.750,0.875,0.419,0.456,4.963,17.193,10.788,1.750,0.750,0.250
MAR-D4,D4 marimba bar/resonator,D4,62,293.665,21.525,1.750,0.875,0.432,0.443,4.822,16.704,10.102,1.750,0.750,0.250
MAR-Dsharp4,D#4 marimba bar/resonator,D#4,63,311.127,20.912,1.750,0.875,0.445,0.430,4.684,16.228,9.454,1.750,0.750,0.250
MAR-E4,E4 marimba bar/resonator,E4,64,329.628,20.317,1.750,0.875,0.458,0.417,4.551,15.766,8.843,1.750,0.750,0.250
MAR-F4,F4 marimba bar/resonator,F4,65,349.228,19.739,1.750,0.875,0.471,0.404,4.421,15.317,8.266,1.750,0.750,0.250
MAR-Fsharp4,F#4 marimba bar/resonator,F#4,66,369.994,19.177,1.750,0.875,0.484,0.391,4.296,14.881,7.722,1.750,0.750,0.250
MAR-G4,G4 marimba bar/resonator,G4,67,391.995,18.631,1.750,0.875,0.497,0.378,4.173,14.458,7.208,1.750,0.750,0.250
MAR-Gsharp4,G#4 marimba bar/resonator,G#4,68,415.305,18.100,1.750,0.875,0.510,0.365,4.054,14.046,6.723,1.750,0.750,0.250
MAR-A4,A4 marimba bar/resonator,A4,69,440.000,17.585,1.750,0.875,0.523,0.352,3.939,13.646,6.265,1.750,0.750,0.250
MAR-Asharp4,A#4 marimba bar/resonator,A#4,70,466.164,17.085,1.750,0.875,0.536,0.339,3.827,13.258,5.833,1.750,0.750,0.250
MAR-B4,B4 marimba bar/resonator,B4,71,493.883,16.598,1.750,0.875,0.549,0.326,3.718,12.880,5.425,1.750,0.750,0.250
MAR-C5,C5 marimba bar/resonator,C5,72,523.251,16.126,1.500,0.875,0.562,0.312,3.612,12.513,5.245,1.500,0.750,0.250
MAR-Csharp5,C#5 marimba bar/resonator,C#5,73,554.365,15.667,1.500,0.875,0.576,0.299,3.509,12.157,4.881,1.500,0.750,0.250
MAR-D5,D5 marimba bar/resonator,D5,74,587.330,15.221,1.500,0.875,0.589,0.286,3.409,11.811,4.538,1.500,0.750,0.250
MAR-Dsharp5,D#5 marimba bar/resonator,D#5,75,622.254,14.787,1.500,0.875,0.602,0.273,3.312,11.475,4.215,1.500,0.750,0.250
MAR-E5,E5 marimba bar/resonator,E5,76,659.255,14.366,1.500,0.875,0.615,0.260,3.218,11.148,3.909,1.500,0.750,0.250
MAR-F5,F5 marimba bar/resonator,F5,77,698.456,13.957,1.500,0.875,0.628,0.247,3.126,10.831,3.621,1.500,0.750,0.250
MAR-Fsharp5,F#5 marimba bar/resonator,F#5,78,739.989,13.560,1.500,0.875,0.641,0.234,3.037,10.523,3.348,1.500,0.750,0.250
